ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
246, Mugla , Resit ,   Yok ,Tespit Edilmeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2013.0
247, Rize , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah,Tespit Edilemeyen,2013.0
248, Sakarya , Resit ,   Var ,Bosanma,Eski Kocasi,Atesli Silah, Araniyor ,2013.0
249, Sakarya , Resit ,   Yok ,Tartisma ,Damadi,Atesli Silah,Tespit Edilemeyen,2013.0
250, Samsun , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2013.0
251, Samsun , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2013.0
252, Samsun ,Resit,   Tespit Edilemeyen ,Kriz ve Issizlik,Kocasi,Kesici Alet,Bilinmiyor,2013.0
253, Samsun , Resit ,   Yok ,Tartisma,Sevgilisi,Tespit Edilemeyen, Tutuklu ,2013.0
254, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2013.0
255, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2013.0
256, Sanliurfa , Resit ,   Yok ,Tartisma,Tespit Edilemeyen,Yuksekten Dusme,Tespit Edilemeyen,2013.0
257, Manisa , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah, Araniyor ,2013.0
258, Tekirdag , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2013.0
259, Tekirdag , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2013.0
260, Trabzon , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2013.0
261, Adana , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014.0
262, Adana , Resit ,   Yok ,Tespit Edilemeyen,Abisi,Tespit Edilemeyen, Tutuklu ,2014.0
263, Adiyaman , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Tutuklu ,2014.0
264, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
265, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2014.0
266, Ankara , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2014.0
